ra,mag,decrad,con
2.420314,6.57,-1.332690462,Hydrus
3.781031,10.61,0.514496172,Triangulum
0.201112,6.84,0.861201701,Andromeda
2.567557,9.15,0.852888135,Perseus
3.52607,9.11,-0.569994974,Sculptor
0.44658,8.73,0.431739342,Aries
3.443335,5.42,-0.488481497,Sculptor
0.380803,8.89,0.273740935,Aries
0.724466,9.09,1.07699494,Cassiopeia
0.319979,8.82,0.421893443,Aries
3.856255,9.74,-1.184638941,Tucana
3.471119,10.93,-0.456614464,Sculptor
2.595428,7.03,1.007013864,Perseus
2.924893,9.44,-0.730349518,Phoenix
2.253338,7.85,-1.006498112,Horologium
2.633273,9.05,0.774207356,Perseus
2.905004,8.74,-0.824912314,Phoenix
1.996069,8.59,-0.437116277,Fornax
3.310778,8.63,0.053593393,Pisces
1.322942,8.51,-0.213155156,Cetus
1.661731,7.8,0.064253231,Cetus
0.948624,8.59,1.256881552,Cassiopeia
1.5666,9.3,-0.266018802,Cetus
2.064968,8.6,-0.579062937,Fornax
0.140227,8.04,0.40415157,Andromeda
2.914107,10.84,-0.913107135,Phoenix
2.458473,7.94,-1.178204996,Hydrus
2.149035,9.31,-0.629074363,Fornax
2.007799,7.75,-0.592361569,Fornax
2.955978,8.29,-0.724825441,Phoenix
2.841579,9.3,-0.85769217,Phoenix
3.600885,9.72,-0.511419595,Sculptor
3.331662,8.28,0.115531786,Pisces
1.088944,8.19,-0.167949532,Cetus
0.914667,7.33,1.20526921,Cassiopeia
0.599235,8.59,0.919068152,Cassiopeia
3.746878,6.53,0.590537852,Triangulum
0.042183,7.57,0.637925178,Andromeda
1.655544,7.36,0.012904178,Cetus
3.688959,8.18,0.127723133,Taurus
1.385224,11.69,-0.212993778,Cetus
0.046437,10.3,0.55816722,Andromeda
0.524364,7.78,1.094839549,Camelopardalis
0.076367,8.6,0.468999328,Andromeda
0.888716,9.55,1.188241932,Cassiopeia
2.723494,7.94,0.57976918,Perseus
3.634265,9.82,0.161550205,Taurus
3.700816,6.65,0.045749745,Taurus
1.706985,7.88,-0.842512785,Eridanus
3.896829,7.52,-1.031951121,Tucana
3.057878,8.52,-0.791524015,Phoenix
0.528954,7.18,1.155599572,Camelopardalis
1.13168,9.54,-0.388577707,Cetus
2.176288,8.67,-0.669818165,Fornax
0.48525,8.85,0.418653305,Aries
3.665588,8.36,0.341374455,Taurus
