id,ra,dec,mag,x,y,z,rarad,decrad,con
203,0.042819,-15.831251,9.18,375.784722,4.212726,-106.564468,0.01120997,-0.276307463,Cet
204,0.043012,-43.947929,8.53,473.634949,5.333979,-456.581777,0.011260623,-0.767036061,Phe
205,0.043043,-5.186651,8.54,124.169878,1.399296,-11.271892,0.011268731,-0.090524141,Psc
206,0.04312,18.836044,8.56,98.376923,1.11059,33.561449,0.0112887,0.328750983,Peg
207,0.043332,-67.634287,9.41,111.581378,1.266038,-271.194666,0.011344327,-1.180441004,Tuc
208,0.043357,66.098966,5.87,40513.19831,459.88359,91424.66428,0.011350757,1.15364459,Cas
209,0.044012,66.100399,7.2,40510.83204,466.81908,91425.67777,0.011522301,1.153669604,Cas
210,0.044143,-8.487955,9.05,133.285842,1.540394,-19.892386,0.011556558,-0.148142763,Cet
211,0.044214,-37.947721,9.52,154.611614,1.789771,-120.576883,0.011575242,-0.662312667,Scl
212,0.044233,-29.075247,10.24,169.365004,1.961406,-94.177855,0.011580276,-0.507458798,Scl
213,0.044464,51.472401,7.7,89.489872,1.041877,112.400634,0.011640777,0.898362863,Cas
214,0.044611,28.542221,8.17,232.998774,2.721377,126.739058,0.01167926,0.498155736,Peg
215,0.044959,82.973202,7.29,42.921084,0.505075,348.241776,0.011770318,1.448155565,Cep
216,0.044967,75.036211,9.26,118.436071,1.394382,443.160191,0.011772249,1.30962894,Cep
217,0.045126,42.920649,7.94,189.210939,2.235411,175.965048,0.011814021,0.749106635,And
218,0.045312,-57.63367,8.42,190.495691,2.259715,-300.584588,0.011862726,-1.005897302,Phe
219,0.04602,6.0344,8.56,97.680404,1.176923,10.326672,0.012048127,0.105320155,Psc
220,0.046118,35.815467,7.52,143.006436,1.726723,103.205714,0.012073714,0.625097824,And
221,0.046222,80.282283,7.74,25.116334,0.304195,146.67428,0.012100902,1.401190169,Cep
222,0.046298,-40.983229,8.85,318.500454,3.86067,-276.724916,0.012120845,-0.715292289,Phe
